,0
0,64.03254099861252
1,63.250558096265344
2,66.57454300893305
3,65.80475510402216
4,62.397355543495856
5,62.48947619731252
6,71.25779625540467
7,70.22650299654168
8,73.02689439472569
9,72.57922459926087
10,68.82662312804476
11,68.60027425058668
12,65.63598145396003
13,66.33322803687528
14,68.53164237206987
15,67.26947527030075
16,70.24654164006994
17,69.6231449474722
18,69.55216909442368
19,68.96912405768326
20,74.69982310572271
21,73.91886142883334
22,71.19154778932959
23,70.07119903977804
24,73.43559894510818
25,72.3248335816812
26,69.93539023481284
27,69.88980130460325
28,67.44646077549965
29,66.85785775223835
30,71.4765795218219
31,70.81060961711036
32,68.73958890029205
33,68.72846687989536
34,69.87732833360498
35,69.4550000368374
36,74.07239684488515
37,72.23184151110176
38,67.94633890230295
39,67.86563135530452
40,64.55890529566133
41,65.75609445027362
42,73.27981341161146
43,71.17750477670045
44,72.79630348974325
45,73.04295617274538
46,69.27196521135221
47,69.27487997695512
48,70.70781561580971
49,70.60559725015264
50,72.7097431270533
51,71.91668272240886
52,73.88968835473045
53,71.96455697110412
54,69.01349558812554
55,69.8941759244728
56,69.52156401306688
57,69.284672978903
58,70.10871341652424
59,69.6323739634476
60,69.47611980242942
61,68.52319615822046
62,70.52817747134425
63,70.72442373306586
64,71.47924299276225
65,70.67948130748465
66,67.52645002459569
67,67.85489004091862
68,68.61477519025964
69,68.27882100534629
70,72.86819547984743
71,71.9769806236012
72,71.45666593638555
73,70.7642416347289
74,67.38974887631687
75,67.16506201927035
76,67.27029246900214
77,65.5348293590862
78,67.57112507329273
79,66.3673855399339
80,67.34875614428488
81,65.91956078907192
