,0
0,69.24194512925632
1,68.81234787401837
2,71.31537523561381
3,70.93593449250167
4,72.40786159124235
5,72.52272514573309
6,74.56006560449998
7,73.94409977716059
8,73.44141684526222
9,73.2376675338117
10,73.11355437529286
11,73.02948482308234
12,68.21462796772717
13,68.64490950216637
14,71.49926585503131
15,70.66035830251731
16,71.48608949858175
17,71.13741680561196
18,69.38316633012899
19,68.99190804591959
20,75.9415374728004
21,75.48688601805124
22,75.60046377325745
23,74.91231193981557
24,75.94722837334551
25,75.24629796288643
26,72.68679845099747
27,72.68646023136048
28,73.57355537813659
29,73.2472991020687
30,76.2671247880101
31,75.90611624371701
32,76.54994206880485
33,76.56956613439716
34,74.5316861336257
35,74.28178995393287
36,76.86456094596895
37,75.67746001289414
38,77.66872871019717
39,77.61653114723302
40,69.77164460283969
41,70.53958209205648
42,76.36039456936975
43,75.0445109410705
44,76.43464682091879
45,76.65275788443465
46,75.56088070429433
47,75.57911793447471
48,74.58411327919204
49,74.51821290763536
50,74.30728866747482
51,73.78059142456512
52,76.84741220512478
53,75.56598818568314
54,72.29079903144964
55,72.8531177998061
56,74.74990048505619
57,74.58586763904206
58,73.35030225181326
59,72.97131421496671
60,70.71639571651137
61,70.09014318235157
62,74.23393327571313
63,74.34577453060868
64,75.34653424188654
65,74.89858779056861
66,75.64479924989058
67,75.84674265598467
68,72.5519625317622
69,72.41072065396517
70,74.7067607027995
71,74.11979305788145
72,74.49080152204763
73,74.00105877407711
74,72.79044622658796
75,72.60012371035114
76,72.16358339859148
77,70.87638242071853
78,72.73584964632877
79,71.95903157979508
80,72.81228852854747
81,71.76793407594366
