"행정구역","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"경기도 하남시 풍산동(4145057000)","14,981","14,981","2,361","1,456","1,661","2,693","3,042","1,873","1,220","505","139","21","10","15,247","15,247","2,350","1,411","1,639","3,105","2,733","1,951","1,259","443","254","84","18"
"경기도 하남시 감북동(4145058000)","1,603","1,603","57","84","196","246","230","321","289","128","43","7","2","1,299","1,299","47","76","139","154","157","269","239","133","69","11","5"
"경기도 하남시 감일동(4145058200)","4,898","4,898","777","385","525","1,119","867","545","427","197","45","10","1","4,847","4,847","741","346","556","1,137","746","574","443","178","106","15","5"
"경기도 하남시 위례동(4145058500)","9,336","9,336","1,264","878","1,100","1,485","1,906","1,369","956","322","48","8","0","9,791","9,791","1,305","936","1,096","1,877","1,776","1,508","886","268","108","28","3"
"경기도 하남시 춘궁동(4145059000)","2,271","2,271","71","110","263","275","352","481","428","196","89","4","2","1,791","1,791","67","94","217","162","215","314","361","207","124","24","6"
"경기도 하남시 초이동(4145060000)","2,142","2,142","89","100","274","285","315","451","413","159","53","3","0","1,593","1,593","80","94","202","167","181","327","310","140","82","8","2"
"경기도 하남시 미사1동(4145061000)","22,539","22,539","2,582","1,799","3,394","5,410","4,447","2,418","1,500","799","170","19","1","21,800","21,800","2,385","1,799","3,764","4,749","3,807","2,278","1,842","744","353","77","2"
"경기도 하남시 미사2동(4145062000)","23,846","23,846","3,633","2,531","2,086","3,800","5,402","2,849","2,190","1,129","196","28","2","24,485","24,485","3,459","2,454","2,028","4,498","4,884","2,977","2,480","1,108","484","109","4"
"경기도 용인시 (4146000000)","533,772","533,772","52,879","63,896","70,711","73,076","99,364","82,843","48,937","29,873","11,110","1,047","36","541,196","541,196","50,681","59,986","65,697","75,031","101,520","79,719","54,322","35,428","15,697","2,958","157"
"경기도 용인시 처인구 (4146100000)","132,481","132,481","11,058","14,344","18,598","17,998","22,972","22,193","15,028","7,370","2,652","256","12","125,251","125,251","10,596","12,596","15,568","16,195","20,529","20,680","15,019","8,541","4,604","865","58"
