"행정구역","2020년07월_남_총인구수","2020년07월_남_연령구간인구수","2020년07월_남_0~9세","2020년07월_남_10~19세","2020년07월_남_20~29세","2020년07월_남_30~39세","2020년07월_남_40~49세","2020년07월_남_50~59세","2020년07월_남_60~69세","2020년07월_남_70~79세","2020년07월_남_80~89세","2020년07월_남_90~99세","2020년07월_남_100세 이상","2020년07월_여_총인구수","2020년07월_여_연령구간인구수","2020년07월_여_0~9세","2020년07월_여_10~19세","2020년07월_여_20~29세","2020년07월_여_30~39세","2020년07월_여_40~49세","2020년07월_여_50~59세","2020년07월_여_60~69세","2020년07월_여_70~79세","2020년07월_여_80~89세","2020년07월_여_90~99세","2020년07월_여_100세 이상"
"서울특별시  (1100000000)","4,728,872","4,728,872","330,330","408,779","712,412","747,611","765,473","751,861","576,472","318,867","104,518","10,824","1,725","4,986,557","4,986,557","312,997","388,511","752,645","746,248","779,950","779,697","644,195","380,868","165,958","30,641","4,847"
"서울특별시 종로구 (1111000000)","73,214","73,214","3,973","5,668","11,568","10,037","10,989","12,868","9,721","5,595","2,331","375","89","76,969","76,969","3,852","5,578","11,868","10,088","11,580","12,777","9,887","6,969","3,504","688","178"
"서울특별시 종로구 청운효자동(1111051500)","5,886","5,886","461","638","797","808","981","942","608","416","204","28","3","6,718","6,718","402","565","828","918","1,208","1,062","764","603","305","47","16"
"서울특별시 종로구 사직동(1111053000)","4,278","4,278","286","321","573","624","656","699","550","336","193","35","5","5,243","5,243","300","374","682","800","825","847","637","445","267","51","15"
"서울특별시 종로구 삼청동(1111054000)","1,300","1,300","48","117","186","178","179","210","185","132","52","12","1","1,396","1,396","56","84","154","193","190","216","223","155","101","18","6"
"서울특별시 종로구 부암동(1111055000)","4,762","4,762","296","494","708","564","767","778","611","361","158","22","3","5,283","5,283","282","441","665","649","877","949","677","444","235","56","8"
"서울특별시 종로구 평창동(1111056000)","8,651","8,651","619","853","1,283","1,050","1,225","1,499","1,166","615","291","42","8","9,801","9,801","572","801","1,206","1,192","1,565","1,818","1,283","770","460","118","16"
"서울특별시 종로구 무악동(1111057000)","4,027","4,027","323","478","432","438","743","738","456","262","128","17","12","4,618","4,618","400","542","510","536","806","687","535","389","174","34","5"
"서울특별시 종로구 교남동(1111058000)","4,887","4,887","458","417","600","839","869","766","495","297","127","14","5","5,630","5,630","433","450","682","941","976","838","640","436","191","33","10"
"서울특별시 종로구 가회동(1111060000)","2,010","2,010","107","178","233","276","360","320","271","181","73","7","4","2,330","2,330","106","160","260","304","401","378","319","262","105","29","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,329","4,329","104","118","434","527","578","964","879","502","171","40","12","2,892","2,892","91","99","401","397","374","412","504","340","194","52","28"
"서울특별시 종로구 종로5.6가동(1111063000)","2,880","2,880","60","114","570","416","364","556","438","260","84","14","4","2,427","2,427","57","118","538","287","256","418","328","279","115","26","5"
"서울특별시 종로구 이화동(1111064000)","3,665","3,665","135","216","810","601","527","549","445","255","106","18","3","4,107","4,107","127","235","906","666","518","575","484","359","197","30","10"
"서울특별시 종로구 혜화동(1111065000)","8,145","8,145","344","693","2,222","1,125","1,104","1,107","766","502","244","30","8","8,697","8,697","371","669","2,242","1,004","1,190","1,203","813","752","377","62","14"
"서울특별시 종로구 창신제1동(1111067000)","2,810","2,810","77","129","341","302","342","654","586","277","81","20","1","2,371","2,371","70","117","280","222","322","503","413","280","131","25","8"
"서울특별시 종로구 창신제2동(1111068000)","4,303","4,303","141","270","638","542","602","964","657","344","122","21","2","4,057","4,057","105","256","550","364","551","863","673","470","183","31","11"
"서울특별시 종로구 창신제3동(1111069000)","3,415","3,415","216","266","509","474","480","624","485","248","84","20","9","3,566","3,566","187","279","451","504","506","663","501","294","153","26","2"
"서울특별시 종로구 숭인제1동(1111070000)","2,993","2,993","157","180","423","440","500","565","401","225","86","13","3","3,145","3,145","149","201","399","410","450","587","470","313","138","22","6"
"서울특별시 종로구 숭인제2동(1111071000)","4,873","4,873","141","186","809","833","712","933","722","382","127","22","6","4,688","4,688","144","187","1,114","701","565","758","623","378","178","28","12"
"서울특별시 중구 (1114000000)","61,644","61,644","3,591","3,555","8,903","10,181","9,354","10,646","8,573","4,771","1,744","262","64","64,326","64,326","3,488","3,542","9,667","10,142","9,009","10,276","8,648","5,854","2,966","599","135"
"서울특별시 중구 소공동(1114052000)","1,018","1,018","91","31","87","208","239","159","130","52","17","3","1","1,074","1,074","85","81","127","219","217","153","101","52","28","7","4"
"서울특별시 중구 회현동(1114054000)","2,774","2,774","114","91","220","276","382","583","624","298","132","35","19","2,426","2,426","93","120","281","290","301","405","421","286","154","51","24"
"서울특별시 중구 명동(1114055000)","1,265","1,265","53","57","163","198","189","211","226","122","36","7","3","1,711","1,711","38","91","191","199","251","295","301","214","105","20","6"
"서울특별시 중구 필동(1114057000)","2,060","2,060","104","98","361","336","279","342","287","173","62","15","3","1,938","1,938","93","87","346","271","213","268","322","184","114","33","7"
"서울특별시 중구 장충동(1114058000)","2,379","2,379","99","160","657","353","317","308","240","168","67","10","0","2,315","2,315","87","169","573","318","271","291","258","215","108","22","3"
"서울특별시 중구 광희동(1114059000)","2,653","2,653","70","106","371","434","341","498","450","282","78","17","6","2,384","2,384","71","97","403","340","278","375","407","256","128","20","9"
"서울특별시 중구 을지로동(1114060500)","1,111","1,111","27","12","92","171","130","239","278","111","39","8","4","726","726","27","22","111","122","70","103","122","91","39","13","6"
"서울특별시 중구 신당동(1114061500)","3,772","3,772","111","153","611","656","583","735","499","308","98","15","3","3,824","3,824","160","145","709","620","497","653","509","342","145","39","5"
"서울특별시 중구 다산동(1114062500)","7,001","7,001","304","467","1,187","1,202","1,051","1,143","889","558","181","16","3","7,387","7,387","286","397","1,237","1,092","1,048","1,217","1,039","687","312","61","11"
"서울특별시 중구 약수동(1114063500)","8,165","8,165","564","517","1,041","1,158","1,247","1,377","1,219","715","284","39","4","9,167","9,167","609","492","1,028","1,319","1,261","1,525","1,392","927","497","112","5"
"서울특별시 중구 청구동(1114064500)","6,711","6,711","395","472","979","1,124","973","1,167","905","453","215","25","3","7,419","7,419","391","457","1,028","1,107","1,053","1,221","996","718","378","65","5"
"서울특별시 중구 신당제5동(1114065000)","5,181","5,181","297","298","769","904","817","983","635","349","115","14","0","5,467","5,467","318","292","890","879","785","901","666","477","213","33","13"
"서울특별시 중구 동화동(1114066500)","5,183","5,183","420","434","738","627","815","937","701","347","142","18","4","5,579","5,579","354","441","743","725","852","1,022","693","426","271","43","9"
"서울특별시 중구 황학동(1114067000)","6,079","6,079","395","265","889","1,411","915","917","735","419","117","16","0","6,624","6,624","356","273","1,245","1,443","933","884","754","474","220","34","8"
"서울특별시 중구 중림동(1114068000)","6,292","6,292","547","394","738","1,123","1,076","1,047","755","416","161","24","11","6,285","6,285","520","378","755","1,198","979","963","667","505","254","46","20"
"서울특별시 용산구 (1117000000)","110,438","110,438","7,167","8,088","15,842","19,006","17,603","18,155","13,369","7,480","3,120","502","106","118,994","118,994","6,691","7,809","17,420","19,090","18,280","18,513","14,798","9,764","5,276","1,094","259"
"서울특별시 용산구 후암동(1117051000)","8,670","8,670","543","724","1,327","1,463","1,355","1,416","1,031","583","187","36","5","9,140","9,140","489","592","1,264","1,381","1,426","1,511","1,183","773","399","98","24"
"서울특별시 용산구 용산2가동(1117052000)","4,919","4,919","222","300","815","915","745","673","655","421","145","21","7","5,312","5,312","190","291","760","871","706","800","801","510","299","69","15"
"서울특별시 용산구 남영동(1117053000)","4,745","4,745","108","143","457","559","742","1,204","935","415","137","29","16","2,988","2,988","107","118","518","477","386","488","410","289","142","37","16"
"서울특별시 용산구 청파동(1117055500)","9,326","9,326","347","657","1,687","1,692","1,407","1,525","1,074","651","250","26","10","10,622","10,622","374","568","2,534","1,476","1,403","1,563","1,293","901","408","78","24"
"서울특별시 용산구 원효로제1동(1117056000)","7,782","7,782","711","444","1,034","1,784","1,390","1,084","776","379","151","25","4","8,349","8,349","675","418","1,400","1,895","1,271","1,100","853","460","210","53","14"
"서울특별시 용산구 원효로제2동(1117057000)","6,778","6,778","482","523","897","1,082","1,149","1,169","799","469","184","20","4","7,600","7,600","480","778","992","1,035","1,213","1,191","909","585","355","53","9"
"서울특별시 용산구 효창동(1117058000)","4,853","4,853","407","403","736","915","747","749","482","267","124","21","2","5,394","5,394","383","387","865","935","841","815","544","372","205","36","11"
"서울특별시 용산구 용문동(1117059000)","5,887","5,887","411","448","864","1,013","923","983","680","401","147","12","5","6,482","6,482","392","416","986","1,033","959","1,006","839","555","231","56","9"
"서울특별시 용산구 한강로동(1117062500)","8,852","8,852","491","480","1,262","1,760","1,263","1,513","1,141","628","246","53","15","9,495","9,495","451","428","1,546","1,927","1,324","1,513","1,111","718","365","84","28"
"서울특별시 용산구 이촌제1동(1117063000)","13,271","13,271","1,473","1,484","1,482","1,682","2,248","2,182","1,402","765","450","95","8","15,131","15,131","1,363","1,485","1,541","2,096","2,773","2,341","1,540","1,103","728","135","26"
"서울특별시 용산구 이촌제2동(1117064000)","4,117","4,117","300","262","485","769","606","644","588","335","115","11","2","4,636","4,636","269","241","506","757","625","744","728","447","256","50","13"
"서울특별시 용산구 이태원제1동(1117065000)","3,275","3,275","125","156","528","616","439","530","477","241","135","22","6","3,646","3,646","126","146","510","510","468","603","587","392","236","52","16"
"서울특별시 용산구 이태원제2동(1117066000)","4,281","4,281","232","241","694","847","647","583","495","359","157","23","3","5,009","5,009","210","270","697","846","752","708","689","504","263","59","11"
"서울특별시 용산구 한남동(1117068500)","10,239","10,239","658","590","1,412","2,000","1,682","1,577","1,277","714","272","48","9","11,036","11,036","577","572","1,399","2,075","1,754","1,696","1,467","926","433","112","25"
"서울특별시 용산구 서빙고동(1117069000)","6,364","6,364","401","775","903","719","1,193","1,101","692","324","224","29","3","6,916","6,916","392","749","910","801","1,316","1,119","706","486","378","56","3"
"서울특별시 용산구 보광동(1117070000)","7,079","7,079","256","458","1,259","1,190","1,067","1,222","865","528","196","31","7","7,238","7,238","213","350","992","975","1,063","1,315","1,138","743","368","66","15"
"서울특별시 성동구 (1120000000)","145,030","145,030","10,760","10,346","22,544","24,447","22,989","23,832","17,401","9,204","3,123","315","69","151,866","151,866","10,278","10,313","23,053","25,313","22,857","23,933","18,485","11,417","5,209","838","170"
"서울특별시 성동구 왕십리제2동(1120052000)","8,408","8,408","657","631","1,226","1,501","1,329","1,344","993","531","171","18","7","8,842","8,842","591","614","1,300","1,489","1,343","1,436","1,083","660","267","47","12"
"서울특별시 성동구 왕십리도선동(1120053500)","13,033","13,033","1,218","838","2,073","2,266","2,025","2,125","1,489","723","242","28","6","14,311","14,311","1,202","810","2,409","2,560","2,025","2,353","1,493","918","447","78","16"
"서울특별시 성동구 마장동(1120054000)","11,369","11,369","635","867","2,224","1,692","1,558","1,847","1,445","803","272","23","3","11,695","11,695","608","848","2,241","1,578","1,555","1,930","1,489","942","425","65","14"
"서울특별시 성동구 사근동(1120055000)","6,095","6,095","227","371","2,472","909","593","641","422","331","113","10","6","5,809","5,809","207","501","2,011","732","554","658","512","424","179","26","5"
"서울특별시 성동구 행당제1동(1120056000)","6,927","6,927","523","499","1,117","1,147","1,071","1,125","838","432","155","18","2","7,443","7,443","503","538","1,175","1,212","1,143","1,207","832","541","237","49","6"
"서울특별시 성동구 행당제2동(1120057000)","11,402","11,402","925","1,014","1,445","1,785","2,023","1,924","1,227","756","269","26","8","12,875","12,875","938","1,196","1,602","1,977","2,169","2,005","1,485","982","435","73","13"
"서울특별시 성동구 응봉동(1120058000)","7,517","7,517","610","845","877","1,113","1,416","1,189","752","507","189","16","3","8,374","8,374","610","887","887","1,177","1,573","1,255","933","685","310","52","5"
"서울특별시 성동구 금호1가동(1120059000)","7,555","7,555","669","577","927","1,305","1,337","1,145","920","479","175","19","2","8,231","8,231","672","523","915","1,500","1,272","1,237","1,123","631","310","38","10"
"서울특별시 성동구 금호2.3가동(1120061500)","11,280","11,280","923","779","1,521","2,032","1,873","1,769","1,348","755","242","31","7","12,427","12,427","856","764","1,503","2,212","1,927","1,975","1,607","1,018","471","74","20"
"서울특별시 성동구 금호4가동(1120062000)","7,103","7,103","719","513","775","1,327","1,304","1,048","794","455","150","14","4","7,744","7,744","688","467","773","1,485","1,306","1,103","987","604","292","34","5"
"서울특별시 성동구 옥수동(1120064500)","12,532","12,532","1,378","854","1,390","2,333","2,217","1,842","1,423","763","292","32","8","14,345","14,345","1,312","830","1,679","2,887","2,270","2,126","1,698","984","442","98","19"
"서울특별시 성동구 성수1가제1동(1120065000)","8,353","8,353","582","611","1,318","1,476","1,197","1,536","1,051","423","137","19","3","8,339","8,339","487","552","1,254","1,489","1,257","1,491","1,026","517","235","26","5"
"서울특별시 성동구 성수1가제2동(1120066000)","6,789","6,789","406","488","1,093","1,240","1,053","1,097","848","429","118","13","4","6,999","6,999","387","473","1,115","1,310","1,109","1,022","843","466","232","32","10"
"서울특별시 성동구 성수2가제1동(1120067000)","8,825","8,825","462","492","1,297","1,407","1,279","1,757","1,352","578","187","13","1","8,060","8,060","424","443","1,132","1,238","1,119","1,470","1,214","664","285","58","13"
"서울특별시 성동구 성수2가제3동(1120069000)","5,731","5,731","310","271","946","1,053","789","1,009","793","404","136","17","3","5,548","5,548","288","271","1,117","929","727","847","695","437","207","23","7"
"서울특별시 성동구 송정동(1120072000)","5,723","5,723","276","356","879","922","880","1,099","831","353","115","11","1","5,153","5,153","278","279","838","760","733","903","736","398","187","34","7"
"서울특별시 성동구 용답동(1120079000)","6,388","6,388","240","340","964","939","1,045","1,335","875","482","160","7","1","5,671","5,671","227","317","1,102","778","775","915","729","546","248","31","3"
"서울특별시 광진구 (1121500000)","168,766","168,766","10,450","13,516","29,575","28,124","26,428","26,816","19,823","10,261","3,368","354","51","180,492","180,492","10,036","13,039","33,049","28,843","27,064","28,189","21,861","12,083","5,251","915","162"
"서울특별시 광진구 화양동(1121571000)","10,614","10,614","210","356","3,997","2,287","1,215","1,112","775","475","163","19","5","11,754","11,754","221","414","5,372","2,039","982","978","883","567","235","45","18"
"서울특별시 광진구 군자동(1121573000)","9,878","9,878","488","572","2,150","1,860","1,361","1,480","1,124","634","195","13","1","10,102","10,102","443","533","2,258","1,825","1,260","1,465","1,211","734","313","51","9"
"서울특별시 광진구 중곡제1동(1121574000)","7,722","7,722","427","406","1,293","1,516","1,156","1,250","975","522","166","8","3","8,031","8,031","377","376","1,460","1,443","1,087","1,326","1,071","628","208","49","6"
"서울특별시 광진구 중곡제2동(1121575000)","10,515","10,515","647","731","1,761","1,960","1,505","1,731","1,279","688","196","15","2","11,605","11,605","610","710","2,174","2,021","1,551","1,900","1,483","791","293","65","7"
"서울특별시 광진구 중곡제3동(1121576000)","8,400","8,400","409","517","1,378","1,447","1,217","1,499","1,133","610","171","17","2","8,476","8,476","369","509","1,331","1,303","1,195","1,505","1,222","702","285","43","12"
"서울특별시 광진구 중곡제4동(1121577000)","14,632","14,632","823","1,105","2,280","2,235","2,195","2,598","1,981","1,086","296","25","8","15,232","15,232","763","943","2,250","2,276","2,145","2,816","2,292","1,209","441","77","20"
"서울특별시 광진구 능동(1121578000)","5,366","5,366","298","293","996","1,236","834","652","578","335","125","18","1","6,304","6,304","288","264","1,409","1,457","799","810","673","402","167","31","4"
"서울특별시 광진구 광장동(1121581000)","17,267","17,267","1,782","2,847","2,057","1,729","3,620","2,738","1,465","650","327","49","3","18,487","18,487","1,638","2,736","2,097","2,281","4,190","2,633","1,503","831","476","95","7"
"서울특별시 광진구 자양제1동(1121582000)","11,016","11,016","526","815","2,042","1,930","1,727","1,768","1,317","648","212","27","4","11,843","11,843","555","717","2,280","1,914","1,715","1,903","1,478","872","349","50","10"
"서울특별시 광진구 자양제2동(1121583000)","12,747","12,747","898","1,026","1,962","2,019","2,075","2,029","1,712","784","216","24","2","13,418","13,418","831","937","1,984","2,094","2,095","2,285","1,831","907","372","71","11"
"서울특별시 광진구 자양제3동(1121584000)","13,875","13,875","1,211","1,318","1,976","2,083","2,200","2,239","1,742","740","321","42","3","14,961","14,961","1,192","1,317","2,032","2,331","2,440","2,441","1,758","860","500","79","11"
"서울특별시 광진구 자양제4동(1121584700)","9,090","9,090","371","443","1,340","1,451","1,345","1,705","1,421","756","231","22","5","9,067","9,067","381","463","1,388","1,238","1,215","1,525","1,535","884","371","57","10"
"서울특별시 광진구 구의제1동(1121585000)","10,608","10,608","476","606","2,204","2,144","1,642","1,560","1,091","647","218","18","2","11,636","11,636","448","608","2,627","2,170","1,608","1,673","1,316","781","348","45","12"
"서울특별시 광진구 구의제2동(1121586000)","13,051","13,051","934","1,202","1,848","1,979","2,172","2,156","1,588","881","264","22","5","14,096","14,096","920","1,205","1,892","1,986","2,317","2,367","1,830","1,039","448","73","19"
"서울특별시 광진구 구의제3동(1121587000)","13,985","13,985","950","1,279","2,291","2,248","2,164","2,299","1,642","805","267","35","5","15,480","15,480","1,000","1,307","2,495","2,465","2,465","2,562","1,775","876","445","84","6"
"서울특별시 동대문구 (1123000000)","171,134","171,134","10,929","12,351","28,052","26,287","26,624","27,062","22,088","12,761","4,433","456","91","174,022","174,022","10,450","12,097","28,134","24,521","24,923","26,746","23,614","15,447","6,755","1,123","212"
"서울특별시 동대문구 용신동(1123053600)","15,752","15,752","679","775","2,904","2,739","2,335","2,527","2,042","1,225","464","55","7","15,170","15,170","638","692","3,067","2,543","1,915","2,184","1,985","1,371","654","103","18"
"서울특별시 동대문구 제기동(1123054500)","12,825","12,825","561","730","2,382","1,855","1,741","2,016","1,866","1,182","437","49","6","12,191","12,191","507","701","1,982","1,469","1,447","1,841","2,001","1,429","693","102","19"
"서울특별시 동대문구 전농제1동(1123056000)","15,254","15,254","986","1,020","2,384","2,273","2,316","2,564","2,090","1,139","428","40","14","15,134","15,134","944","987","2,283","2,147","2,127","2,410","2,049","1,405","653","100","29"
"서울특별시 동대문구 전농제2동(1123057000)","9,319","9,319","646","874","1,225","1,184","1,500","1,606","1,256","685","314","24","5","10,035","10,035","643","910","1,176","1,180","1,607","1,689","1,429","942","398","55","6"
"서울특별시 동대문구 답십리제1동(1123060000)","14,193","14,193","1,404","1,021","1,903","2,573","2,440","2,124","1,541","865","281","30","11","15,060","15,060","1,369","981","2,159","2,827","2,269","2,218","1,653","1,014","479","71","20"
"서울특별시 동대문구 답십리제2동(1123061000)","14,488","14,488","959","1,033","1,996","2,307","2,274","2,437","1,968","1,124","359","21","10","15,255","15,255","916","1,058","2,013","2,208","2,183","2,603","2,179","1,381","602","101","11"
"서울특별시 동대문구 장안제1동(1123065000)","19,248","19,248","1,325","1,367","2,506","3,301","3,372","3,011","2,582","1,365","370","41","8","19,416","19,416","1,295","1,291","2,730","3,091","3,060","3,078","2,729","1,484","538","103","17"
"서울특별시 동대문구 장안제2동(1123066000)","16,597","16,597","1,546","1,529","2,045","2,637","2,964","2,491","2,017","1,060","277","26","5","16,529","16,529","1,431","1,343","1,871","2,605","2,848","2,473","2,190","1,210","459","87","12"
"서울특별시 동대문구 청량리동(1123070500)","10,445","10,445","443","630","1,318","1,305","1,435","1,884","1,882","1,118","383","43","4","10,468","10,468","429","575","1,162","1,120","1,296","1,827","1,938","1,359","630","106","26"
"서울특별시 동대문구 회기동(1123071000)","4,938","4,938","248","332","1,455","767","660","609","427","293","129","17","1","5,451","5,451","218","396","1,663","690","674","609","536","411","202","42","10"
"서울특별시 동대문구 휘경제1동(1123072000)","6,687","6,687","410","404","1,421","1,166","885","1,015","748","442","174","16","6","7,001","7,001","390","398","1,731","1,027","837","998","783","555","234","45","3"
"서울특별시 동대문구 휘경제2동(1123073000)","12,138","12,138","689","1,010","2,796","1,631","1,789","1,737","1,374","818","247","42","5","12,322","12,322","630","1,137","2,465","1,425","1,802","1,825","1,545","996","425","65","7"
"서울특별시 동대문구 이문제1동(1123074000)","9,214","9,214","356","679","2,333","1,248","1,282","1,341","1,003","654","285","26","7","9,358","9,358","380","687","2,341","931","1,215","1,274","1,170","873","390","69","28"
"서울특별시 동대문구 이문제2동(1123075000)","10,036","10,036","677","947","1,384","1,301","1,631","1,700","1,292","791","285","26","2","10,632","10,632","660","941","1,491","1,258","1,643","1,717","1,427","1,017","398","74","6"
"서울특별시 중랑구 (1126000000)","195,227","195,227","12,188","13,993","27,882","30,102","30,061","34,498","27,500","14,187","4,407","364","45","199,066","199,066","11,386","13,421","28,101","28,189","28,178","35,363","29,185","16,897","6,984","1,205","157"
"서울특별시 중랑구 면목제2동(1126052000)","12,602","12,602","689","827","1,707","1,829","2,043","2,550","1,729","921","274","32","1","12,629","12,629","657","852","1,731","1,589","1,811","2,428","1,876","1,132","466","76","11"
"서울특별시 중랑구 면목제4동(1126054000)","9,629","9,629","595","671","1,294","1,453","1,615","1,666","1,334","790","185","25","1","9,636","9,636","524","580","1,235","1,322","1,386","1,665","1,524","1,017","316","58","9"
"서울특별시 중랑구 면목제5동(1126055000)","5,238","5,238","307","362","714","851","850","958","721","357","113","4","1","5,105","5,105","338","342","621","770","728","920","743","458","157","25","3"
"서울특별시 중랑구 면목본동(1126056500)","17,365","17,365","905","1,029","2,678","2,874","2,698","3,217","2,309","1,247","377","24","7","17,535","17,535","842","1,068","2,563","2,599","2,497","3,235","2,490","1,556","577","88","20"
"서울특별시 중랑구 면목제7동(1126057000)","11,270","11,270","672","681","1,611","1,779","1,710","1,927","1,702","917","250","19","2","11,211","11,211","572","623","1,517","1,697","1,514","2,056","1,757","994","402","69","10"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,937","12,937","615","820","1,957","1,988","1,930","2,319","1,900","1,048","327","30","3","13,063","13,063","619","763","1,893","1,761","1,724","2,415","2,062","1,248","496","75","7"
"서울특별시 중랑구 상봉제1동(1126058000)","12,278","12,278","1,021","1,078","1,813","1,879","1,768","2,172","1,579","709","242","17","0","12,783","12,783","915","971","1,825","1,840","1,869","2,329","1,656","905","402","68","3"
"서울특별시 중랑구 상봉제2동(1126059000)","9,624","9,624","412","452","1,686","2,073","1,374","1,600","1,166","654","189","16","2","10,110","10,110","392","410","2,253","1,985","1,251","1,544","1,271","689","253","53","9"
"서울특별시 중랑구 중화제1동(1126060000)","9,997","9,997","691","687","1,462","1,693","1,499","1,607","1,435","689","220","13","1","10,440","10,440","634","692","1,503","1,597","1,377","1,836","1,572","827","339","59","4"
"서울특별시 중랑구 중화제2동(1126061000)","13,386","13,386","590","677","1,900","2,021","1,942","2,720","2,115","1,040","341","34","6","12,659","12,659","524","588","1,947","1,750","1,682","2,396","1,968","1,230","509","53","12"
"서울특별시 중랑구 묵제1동(1126062000)","17,341","17,341","1,300","1,626","2,387","2,561","2,947","2,703","2,180","1,201","405","24","7","18,336","18,336","1,223","1,584","2,575","2,565","3,008","2,912","2,424","1,367","568","95","15"
"서울특별시 중랑구 묵제2동(1126063000)","9,595","9,595","601","645","1,363","1,648","1,479","1,560","1,366","704","208","17","4","9,916","9,916","561","600","1,422","1,497","1,472","1,627","1,549","828","306","46","8"
"서울특별시 중랑구 망우본동(1126065500)","15,323","15,323","778","962","2,182","2,139","2,237","2,917","2,476","1,221","370","37","4","15,105","15,105","736","966","2,046","1,952","1,912","2,903","2,456","1,394","612","114","14"
"서울특별시 중랑구 망우제3동(1126066000)","8,726","8,726","443","579","1,208","1,201","1,275","1,738","1,369","686","211","13","3","8,595","8,595","405","642","1,162","1,011","1,234","1,632","1,328","769","331","69","12"
"서울특별시 중랑구 신내1동(1126068000)","19,679","19,679","1,835","1,986","2,563","2,637","3,094","3,156","2,628","1,300","441","37","2","20,703","20,703","1,730","1,860","2,509","2,724","3,023","3,546","2,807","1,540","768","181","15"
"서울특별시 중랑구 신내2동(1126069000)","10,237","10,237","734","911","1,357","1,476","1,600","1,688","1,491","703","254","22","1","11,240","11,240","714","880","1,299","1,530","1,690","1,919","1,702","943","482","76","5"
"서울특별시 성북구 (1129000000)","213,033","213,033","15,243","19,415","32,449","30,455","35,041","34,285","25,462","14,735","5,350","504","94","228,155","228,155","14,638","18,800","34,619","30,589","36,158","35,365","28,652","19,024","8,539","1,487","284"
"서울특별시 성북구 성북동(1129052500)","7,949","7,949","383","676","1,281","1,187","1,257","1,296","954","597","275","36","7","9,003","9,003","427","575","1,468","1,337","1,366","1,443","1,086","798","393","103","7"
"서울특별시 성북구 삼선동(1129055500)","11,410","11,410","633","1,028","1,944","1,672","1,863","1,875","1,265","789","306","27","8","12,548","12,548","581","969","2,370","1,739","1,944","1,838","1,434","1,074","497","75","27"
"서울특별시 성북구 동선동(1129057500)","6,584","6,584","284","447","1,429","1,192","997","923","650","462","172","23","5","9,039","9,039","298","573","2,994","1,344","1,089","968","808","630","273","50","12"
"서울특별시 성북구 돈암제1동(1129058000)","7,241","7,241","410","675","987","988","1,067","1,333","989","564","198","25","5","8,245","8,245","461","735","1,115","1,021","1,197","1,438","1,156","715","353","46","8"
"서울특별시 성북구 돈암제2동(1129059000)","11,798","11,798","1,096","1,439","1,500","1,449","2,192","1,934","1,255","636","265","29","3","12,923","12,923","1,031","1,449","1,506","1,652","2,447","2,094","1,401","839","406","90","8"
"서울특별시 성북구 안암동(1129060000)","7,812","7,812","236","490","2,666","1,177","901","1,022","703","432","170","11","4","7,604","7,604","230","439","2,378","924","856","1,073","785","587","278","44","10"
"서울특별시 성북구 보문동(1129061000)","7,816","7,816","518","493","1,386","1,393","1,257","1,236","883","468","167","10","5","8,350","8,350","501","518","1,441","1,336","1,236","1,348","991","625","284","59","11"
"서울특별시 성북구 정릉제1동(1129062000)","9,120","9,120","780","921","1,169","1,325","1,624","1,414","1,022","610","232","22","1","9,786","9,786","708","934","1,161","1,410","1,710","1,448","1,171","814","364","55","11"
"서울특별시 성북구 정릉제2동(1129063000)","11,373","11,373","783","1,015","1,625","1,625","1,793","1,803","1,517","866","313","31","2","12,112","12,112","751","918","1,604","1,524","1,877","1,968","1,766","1,132","472","84","16"
"서울특별시 성북구 정릉제3동(1129064000)","7,743","7,743","342","528","1,709","1,087","1,003","1,165","983","636","259","29","2","7,875","7,875","346","507","1,373","840","1,019","1,220","1,187","871","419","86","7"
"서울특별시 성북구 정릉제4동(1129065000)","12,523","12,523","946","1,168","1,664","1,663","2,129","2,005","1,629","956","329","30","4","13,376","13,376","863","1,060","1,601","1,776","2,156","2,175","1,918","1,217","501","90","19"
"서울특별시 성북구 길음제1동(1129066000)","17,428","17,428","2,129","2,386","1,656","2,246","3,844","2,481","1,452","906","296","25","7","19,155","19,155","2,016","2,484","1,825","2,693","4,155","2,415","1,775","1,171","511","91","19"
"서울특별시 성북구 길음제2동(1129068500)","8,317","8,317","806","753","1,042","1,250","1,429","1,360","993","497","164","18","5","8,877","8,877","708","679","1,121","1,327","1,580","1,385","1,089","660","273","41","14"
"서울특별시 성북구 종암동(1129070500)","19,729","19,729","1,447","2,043","3,088","2,652","3,239","3,198","2,201","1,263","518","66","14","20,258","20,258","1,364","1,737","2,751","2,657","3,350","3,157","2,457","1,678","910","168","29"
"서울특별시 성북구 월곡제1동(1129071500)","13,107","13,107","1,105","1,280","1,485","1,791","2,338","2,134","1,661","972","315","20","6","14,000","14,000","1,076","1,380","1,593","1,811","2,348","2,162","1,844","1,196","500","71","19"
"서울특별시 성북구 월곡제2동(1129072500)","9,687","9,687","614","767","1,550","1,444","1,493","1,542","1,268","707","280","21","1","10,440","10,440","558","755","2,045","1,363","1,431","1,524","1,360","908","414","72","10"
"서울특별시 성북구 장위제1동(1129076000)","9,904","9,904","465","839","1,562","1,328","1,431","1,863","1,424","717","248","23","4","10,390","10,390","508","785","1,471","1,116","1,512","2,018","1,530","951","430","58","11"
